name_of_work,content,,,,,,,,,,,,,,
On the Beach at Night Alone by Walt Whitman,"On the beach at night alone,
As the old mother sways her to and fro singing her husky song,
As I watch the bright stars shining, I think a thought of the clef of the universes and of the future.

A vast similitude interlocks all,
All spheres, grown, ungrown, small, large, suns, moons, planets,
All distances of place however wide,
All distances of time, all inanimate forms,
All souls, all living bodies though they be ever so different, or in different worlds,
All gaseous, watery, vegetable, mineral processes, the fishes, the brutes,
All nations, colors, barbarisms, civilizations, languages,
All identities that have existed or may exist on this globe, or any globe,
All lives and deaths, all of the past, present, future,
This vast similitude spans them, and always has spann’d,
And shall forever span them and compactly hold and enclose them.",,,,,,,,,,,,,,
1st Date She and 1st Date He by Wendy Cope,"I said I liked classical music.
It wasn’t exactly a lie.
I hoped he would get the impression
That my brow was acceptably high.

I said I liked classical music.
I mentioned Vivaldi and Bach.
And he asked me along to this concert.
Here we are, sitting in the half-dark.
I was thrilled to be asked to this concert.
I couldn’t care less what they play
But I’m trying my hardest to listen
So I’ll have something clever to say.

When I glance at his face it’s a picture
Of rapt concentration. I see
He is totally into this music
And quite undistracted by me.

1st Date - He

She said she liked classical music.
I implied I was keen on it too.
Though I don’t often go to a concert,
It wasn’t entirely untrue.

I looked for a suitable concert
And here we are, on our first date.
The traffic was dreadful this evening
And I arrived ten minutes late.

So we haven’t had much time for talking
And I’m a bit nervous. I see
She is totally lost in the music
And quite undistracted by me.
In that dress she is very attractive -
The neckline can’t fail to intrigue.
I musn’t appear too besotted.
Perhaps she is out of my league.

Where are we? I glance at the programme
But I’ve put my glasses away.
I’d better start paying attention
Or else I’ll have nothing to say.",,,,,,,,,,,,,,
Lineage by Margaret Walker,"My grandmothers were strong.
They followed plows and bent to toil.
They moved through fields sowing seed.
They touched earth and grain grew.
They were full of sturdiness and singing.
My grandmothers were strong.
My grandmothers are full of memories
Smelling of soap and onions and wet clay
With veins rolling roughly over quick hands
They have many clean words to say.
My grandmothers were strong.
Why am I not as they?",,,,,,,,,,,,,,
First Flight by U.A. Fanthorpe,"Plane moves. I don’t like the feel of it.
In a car I’d suspect low tyre pressure.

A sudden swiftness, earth slithers
Off at an angle. The experienced solidly

This is rather a short hop for me

Read Guardians, discuss secretaries,
Business lunches. I crane for the last of dear
I’m doing it just to say I’ve done it

Familiar England, motorways, reservoir,
Building sites. Nimble tiny-disc, a sun

Tell us when we get to water

Runs up the porthole and vanishes.
Under us the broad meringue kingdom

The next lot of water’ll be the Med

Of cumulus, bearing the crinkled tangerine stain
That light spreads on an evening sea at home.

You don’t need an overcoat, but
It’s the sort of place where you need
A pullover. Know what I mean?

We have come too high for history.
Where we are now deals only with tomorrow,
Confounds the forecasters, dismisses clocks.

My last trip was Beijing. Know where that is?
Beijing. Peking, you’d say. Three weeks there, I was.
Peking is wrong. If you’ve been there
You call it Beijing, like me. Go on, say it.
Mackerel wigs dispense the justice of air.
At this height nothing lives. Too cold. Too near the sun.",,,,,,,,,,,,,,
In the Desert by Stephen Crane,"In the desert
I saw a creature, naked, bestial,
Who, squatting upon the ground,
Held his heart in his hands,
And ate of it.
I said, “Is it good, friend?”
“It is bitter—bitter,” he answered;

“But I like it
“Because it is bitter,
“And because it is my heart.”",,,,,,,,,,,,,,
All that is gold does not glitter by J.R.R. Tolkien,"All that is gold does not glitter,
Not all those who wander are lost;
The old that is strong does not wither,
Deep roots are not reached by the frost.
From the ashes a fire shall be woken,
A light from the shadows shall spring;
Renewed shall be blade that was broken,
The crownless again shall be king.",,,,,,,,,,,,,,
The Traveling Onion by Naomi Shihab Nye,"When I think how far the onion has traveled
just to enter my stew today, I could kneel and praise
all small forgotten miracles,
crackly paper peeling on the drainboard,
pearly layers in smooth agreement,
the way the knife enters onion
and onion falls apart on the chopping block,
a history revealed.
And I would never scold the onion
for causing tears.
It is right that tears fall
for something small and forgotten.
How at meal, we sit to eat,
commenting on texture of meat or herbal aroma
but never on the translucence of onion,
now limp, now divided,
or its traditionally honorable career:
For the sake of others,
disappear.",,,,,,,,,,,,,,
The Beach by Robert Graves,"Louder than gulls the little children scream
Whom fathers haul into the jovial foam;
But others fearlessly rush in, breast high,
Laughing the salty water from their mouthes—
Heroes of the nursery.
The horny boatman, who has seen whales
And flying fishes, who has sailed as far
As Demerara and the Ivory Coast,
Will warn them, when they crowd to hear his tales,
That every ocean smells of tar.",,,,,,,,,,,,,,
‘The Trial by Existence’ by Robert Frost,"Even the bravest that are slain
Shall not dissemble their surprise
On waking to find valor reign,
Even as on earth, in paradise;
And where they sought without the sword
Wide field of asphodel fore’er,
To find that the utmost reward
Of daring should be still to dare.

The light of heaven falls whole and white
And is not shattered into dyes,
The light for ever is morning light;
The hills are verdured pasture-wise;
The angel hosts with freshness go,
And seek with laughter what to brave;—
And binding all is the hushed snow
Of the far-distant breaking wave.

And from a cliff-top is proclaimed
The gathering of the souls for birth,
The trial by existence named,
The obscuration upon earth.
And the slant spirits trooping by
In streams and cross- and counter-streams
Can but give ear to that sweet cry
For its suggestion of what dreams!

And the more loitering are turned
To view once more the sacrifice
Of those who for some good discerned
Will gladly give up paradise.
And a white shimmering concourse rolls
Toward the throne to witness there
The speeding of devoted souls
Which God makes his especial care.

And none are taken but who will,
Having first heard the life read out
That opens earthward, good and ill,
Beyond the shadow of a doubt;
And very beautifully God limns,
And tenderly, life’s little dream,
But naught extenuates or dims,
Setting the thing that is supreme.

Nor is there wanting in the press
Some spirit to stand simply forth,
Heroic in its nakedness,
Against the uttermost of earth.
The tale of earth’s unhonored things
Sounds nobler there than ’neath the sun;
And the mind whirls and the heart sings,
And a shout greets the daring one.

But always God speaks at the end:
‘One thought in agony of strife
The bravest would have by for friend,
The memory that he chose the life;
But the pure fate to which you go
Admits no memory of choice,
Or the woe were not earthly woe
To which you give the assenting voice.’

And so the choice must be again,
But the last choice is still the same;
And the awe passes wonder then,
And a hush falls for all acclaim.
And God has taken a flower of gold
And broken it, and used therefrom
The mystic link to bind and hold
Spirit to matter till death come.

’Tis of the essence of life here,
Though we choose greatly, still to lack
The lasting memory at all clear,
That life has for us on the wrack
Nothing but what we somehow chose;
Thus are we wholly stripped of pride
In the pain that has but one close,
Bearing it crushed and mystified.",,,,,,,,,,,,,,
A Poem about Baseballs by Denis Johnson,"for years the scenes bustled through him as he dreamed he was alive. then he felt real, and slammed
awake in the wet sheets screaming too fast, everything moves
too fast, and the edges of things are gone. four blocks away
a baseball was a dot against the sky, and he thought, my glove is too big, i will
drop the ball and it will be a home run. the snow falls too fast from the clouds, and night is dropped and
snatched back like a huge
joke. is that the ball, or is
it just a bird, and the ball is
somewhere else, and i will
miss it? and the edges are gone, my
hands melt into the walls, my hands do not end where the wall begins. should i move
forward, or back, or will the ball
come right to me? i know i will miss, because i always miss when it
takes so long. the wall has no surface, no edge, the wall
fades into the air and the air is my hand, and i am the wall. my arm is the syringe and thus i
become the nurse, i am you, nurse. if he gets
around the bases before the ball comes down, is it a home
run, even if i catch it? if we could slow down, and stop, we
would be one fused mass careening at too great a speed through
the emptiness. if i catch
the ball, our side will
be up, and i will have to bat, and i might strike out.",,,,,,,,,,,,,,
Song: to Celia by Ben Jonson,"Drink to me only with thine eyes,
And I will pledge with mine;
Or leave a kiss but in the cup,
And I’ll not look for wine.
The thirst that from the soul doth rise
Doth ask a drink divine;
But might I of Jove’s nectar sup,
I would not change for thine.
I sent thee late a rosy wreath,
Not so much honouring thee
As giving it a hope, that there
It could not withered be.
But thou thereon didst only breathe,
And sent’st it back to me;
Since when it grows, and smells, I swear,
Not of itself, but thee.",,,,,,,,,,,,,,
